'verified' 'register_time' 'status_count' 'favourites_count' 'followers_count' 'friend_count' 'male/female' 'age' 'org'
billgates 1 4380 3658 180 55742384 327 1 3 0
elonmusk 1 4380 15682 10172 60872334 107 1 2 0
barackobama 1 5110 16280 0 130098791 588746 1 2 0
cnnbrk 1 5110 76370 27 61513078 119 1 2 1
bbcbreaking 1 5110 37542 0 48326283 3 1 2 1
foxnews 1 5110 437205 2 20332109 263 1 2 1
twitter 1 5110 14810 5689 60285732 0 1 2 1
sweden 1 4380 196294 63169 132451 5933 1 2 1
chaser 1 4380 6714 5666 191323 202 1 2 0
nickiminaj 1 4380 42359 25751 22980413 5725 0 1 0
mtgreenee 1 1460 13854 11516 449642 1524 0 1 0
kenglueck 0 4380 9 2 147 97 1 1 0
whitlockjason 1 4380 1943 275 470609 576 1 1 0
leehurstcomic 0 365 17305 2962 23612 171 1 1 0
